c instance by G2
c solution = 01000010000001110101100000001101000
c Known solution cost is 1691 
p cnf 35 40
w 8 74 14 97 74 33 43 2 41 54 29 52 57 33 95 83 51 59 26 9 23 18 85 7 36 36 1 61 90 52 81 98 26 96 47
2 10 17 0
29 -14 -30 0
-13 -30 8 0
26 25 -28 0
35 9 -6 0
28 31 -33 0
31 5 -9 0
-26 34 -16 0
-10 -7 26 0
21 -14 12 0
29 -6 35 0
15 28 27 0
6 -24 35 0
19 -35 26 0
-27 1 -14 0
-5 34 6 0
-1 -29 11 0
-34 19 -15 0
1 3 -8 0
-19 -30 11 0
10 30 33 0
7 19 26 0
-30 8 -31 0
29 3 -13 0
27 -12 -4 0
-13 -30 35 0
-23 13 10 0
9 17 16 0
27 -29 18 0
20 31 -21 0
25 -30 -12 0
14 31 33 0
18 -32 35 0
-17 -16 -21 0
-15 32 8 0
-4 -14 23 0
-22 9 17 0
-3 28 -32 0
34 -11 31 0
-25 17 12 0
