c instance by G2
c solution = 00001000010010001001101111101111111
c Known solution cost is 1907 
p cnf 35 40
w 83 74 88 79 33 68 3 22 72 80 21 22 23 77 86 99 9 76 23 92 44 45 98 87 42 14 61 78 12 6 48 47 80 88 27
20 -35 3 0
28 32 22 0
33 2 22 0
-10 24 2 0
-6 -20 -35 0
2 -27 -14 0
4 -34 5 0
27 7 4 0
-12 -10 -28 0
18 15 -9 0
17 3 2 0
-26 35 2 0
3 -29 -2 0
-33 13 -34 0
6 -18 -17 0
4 -12 14 0
-4 9 16 0
-8 -24 22 0
4 8 -22 0
-16 -35 -5 0
34 -26 14 0
-23 33 -1 0
-31 1 -28 0
1 -23 31 0
8 -7 -17 0
-27 -11 -7 0
1 -13 21 0
-19 -29 9 0
-10 -17 -3 0
-34 25 -31 0
29 22 18 0
-10 -1 -17 0
10 18 22 0
23 -33 15 0
-30 12 26 0
-24 31 -20 0
-27 -15 8 0
-20 -32 30 0
20 -8 21 0
-11 4 14 0
