c instance by G2
c solution = 01001101001100111011101101001111011
c Known solution cost is 1856 
p cnf 35 40
w 76 72 26 49 56 21 70 81 57 11 73 55 83 23 79 91 19 46 50 3 68 93 91 44 28 6 15 31 2 64 50 78 89 77 79
12 4 21 0
27 -25 -32 0
-6 -15 20 0
31 -5 -20 0
8 -18 16 0
-23 7 11 0
32 33 9 0
-19 -15 -9 0
-26 -14 9 0
4 17 -32 0
-5 1 -10 0
-32 -12 24 0
-16 -34 15 0
1 -13 -29 0
-3 -26 13 0
-26 -6 34 0
-5 21 -23 0
6 -12 10 0
-6 -33 4 0
28 -23 -27 0
28 -11 26 0
14 -28 27 0
-11 -1 22 0
-4 10 -20 0
-18 -19 3 0
-33 28 35 0
3 33 -14 0
-21 30 33 0
-5 -32 35 0
-32 -12 5 0
-2 -31 -22 0
9 14 8 0
-26 -17 19 0
-19 -13 -18 0
18 12 4 0
-7 -5 -26 0
13 29 1 0
16 25 28 0
-6 23 -8 0
4 -5 2 0
