c instance by G2
c solution = 11111110101111001100101011100101010
c Known solution cost is 1511 
p cnf 35 40
w 71 15 16 76 70 10 53 55 70 90 8 25 79 77 74 21 72 47 51 52 52 12 17 52 9 45 7 95 24 16 15 48 32 31 24
27 -7 -17 0
3 19 -1 0
7 15 -22 0
5 -27 15 0
23 -27 29 0
24 -29 -32 0
-21 33 -35 0
-13 17 6 0
12 -23 -18 0
15 -17 -19 0
-18 -26 17 0
-13 -2 30 0
-5 16 -31 0
-13 29 -15 0
-11 31 7 0
-3 -30 34 0
-16 -3 10 0
26 -13 22 0
-30 -8 10 0
13 10 22 0
-34 32 -26 0
-7 9 20 0
6 -1 30 0
35 -20 -26 0
-21 -7 4 0
-25 18 -32 0
-6 15 -28 0
-17 -6 14 0
29 21 -32 0
25 -5 -17 0
-21 -33 -12 0
29 2 -24 0
15 -22 -4 0
33 -26 -10 0
1 -34 -30 0
6 8 19 0
29 -3 -24 0
8 2 -7 0
-21 16 11 0
-19 -18 -21 0
