c instance by G2
c solution = 00010110101000101101010100000110110
c Known solution cost is 1759 
p cnf 35 40
w 35 76 74 63 82 1 91 43 84 41 8 83 17 13 8 28 84 65 14 96 2 38 46 31 86 79 17 14 59 85 28 95 61 54 58
-9 -11 24 0
-13 23 -20 0
30 23 -7 0
-14 12 19 0
-33 -21 23 0
27 -25 10 0
6 -20 28 0
32 -6 9 0
-8 -24 16 0
26 21 4 0
-6 5 -28 0
19 20 -34 0
19 -15 33 0
35 -22 -26 0
13 -10 29 0
13 16 7 0
-1 -7 8 0
-11 -7 31 0
25 18 -15 0
24 -32 3 0
-12 21 -22 0
1 34 -22 0
11 14 8 0
35 -3 -20 0
-20 -9 -5 0
-27 9 11 0
34 -7 12 0
22 -6 26 0
29 -32 -6 0
27 -16 -9 0
-4 15 -18 0
-22 -29 8 0
-19 -34 13 0
-30 7 -25 0
-11 32 -1 0
-27 12 -6 0
-15 17 -11 0
-35 -17 2 0
-2 -31 28 0
-23 8 16 0
