c instance by G2
c solution = 10001010010010011110110110001010010
c Known solution cost is 1867 
p cnf 35 40
w 63 2 72 55 99 6 32 38 98 86 25 76 84 17 15 70 14 91 77 13 97 43 43 53 86 27 85 86 52 77 96 15 31 21 22
-27 26 6 0
-31 -2 -22 0
12 17 26 0
-1 -13 -23 0
6 34 -10 0
26 -34 24 0
3 11 25 0
31 2 35 0
-1 4 -26 0
33 -30 -1 0
-5 29 27 0
-2 -7 20 0
22 32 -21 0
-31 -20 11 0
-15 33 -10 0
-18 -29 21 0
7 -24 -1 0
-13 1 9 0
3 -12 -19 0
-14 26 -10 0
15 9 -11 0
-31 -7 -28 0
-21 27 -35 0
-14 -22 -17 0
-22 -19 7 0
11 5 -31 0
-5 28 19 0
-17 -8 -18 0
16 -29 33 0
-13 18 -10 0
23 -13 10 0
35 -32 -10 0
-10 6 -3 0
-5 -33 -13 0
15 32 -8 0
35 6 -9 0
-19 -34 -6 0
26 -14 3 0
-1 30 -4 0
13 27 32 0
