c instance by G2
c solution = 011100000100111100101000111
c Known solution cost is 1083 
p cnf 27 40
w 92 12 12 44 2 99 1 9 39 57 8 60 97 72 28 7 21 51 7 48 10 27 60 78 61 19 62
11 22 13 0
-19 -17 7 0
-10 14 18 0
-17 -27 8 0
8 -1 21 0
5 8 2 0
1 -9 -13 0
-2 20 -22 0
15 -16 -19 0
-23 24 -4 0
5 22 -23 0
-9 -5 6 0
-10 19 24 0
4 22 -25 0
3 -13 1 0
-8 5 -3 0
17 -7 -25 0
-18 23 20 0
-21 -13 10 0
-10 2 6 0
2 16 12 0
-5 23 -21 0
1 20 27 0
22 26 -21 0
9 -21 16 0
-24 20 -15 0
9 -12 -2 0
-6 -1 17 0
-7 -12 20 0
9 -14 21 0
9 -11 -3 0
-14 -17 22 0
17 -4 15 0
-6 -17 8 0
14 -23 11 0
22 -1 24 0
25 23 1 0
18 -24 -22 0
-20 -25 6 0
5 -26 -6 0
