c instance by G2
c solution = 110100010111100001111111110
c Known solution cost is 1662 
p cnf 27 40
w 89 39 92 63 60 74 65 39 66 72 66 71 75 43 24 23 91 47 96 80 81 81 73 47 25 50 30
20 -8 -19 0
19 9 -12 0
24 5 -1 0
-17 3 9 0
21 22 -20 0
5 14 25 0
7 -26 11 0
3 7 21 0
9 24 -23 0
8 -25 -26 0
5 7 -3 0
-20 -10 4 0
-17 6 22 0
-8 -1 -7 0
-26 -6 7 0
-27 -22 14 0
23 -4 -21 0
-20 -6 -26 0
-4 -23 1 0
-12 26 15 0
-15 -22 -26 0
-22 -9 -11 0
-19 -16 -11 0
-2 -7 -13 0
-13 18 -17 0
2 -12 15 0
18 27 14 0
4 7 -2 0
24 -2 -26 0
15 -14 -20 0
-2 22 16 0
12 -13 -8 0
-18 -21 -17 0
5 -23 13 0
11 23 2 0
-21 14 -6 0
-2 -19 -5 0
-4 11 -23 0
16 10 -12 0
-21 -6 9 0
