c instance by G2
c solution = 101101001111011100100111000
c Known solution cost is 1174 
p cnf 27 40
w 46 75 59 33 27 12 25 18 84 60 13 54 5 74 80 19 83 90 15 48 19 21 8 85 9 39 73
26 15 -24 0
11 25 17 0
-3 13 14 0
-22 6 26 0
-16 -14 19 0
5 -20 27 0
-2 -10 1 0
10 25 7 0
-3 -20 25 0
-15 25 11 0
-14 5 23 0
-22 -14 3 0
24 -4 -11 0
-27 -9 -23 0
-25 -22 -1 0
25 13 23 0
-19 24 -10 0
-16 -19 3 0
13 22 5 0
9 -6 -12 0
-3 -13 -15 0
20 -1 -21 0
15 -22 -1 0
7 18 4 0
1 -16 -15 0
21 -15 -7 0
2 19 -20 0
-8 -12 26 0
26 -2 8 0
7 -1 -18 0
-22 -26 27 0
5 21 16 0
-5 -1 -10 0
20 12 -11 0
-3 18 -27 0
4 -9 -22 0
5 -4 -27 0
-24 -12 -7 0
-24 20 -17 0
-19 -24 16 0
