c instance by G2
c solution = 101111000100111000110100011
c Known solution cost is 1178 
p cnf 27 40
w 55 62 24 36 4 8 43 83 36 7 59 23 8 87 75 39 15 39 62 62 53 31 79 55 18 74 41
7 -17 -14 0
-24 7 19 0
-27 -1 -12 0
-1 5 -13 0
8 2 20 0
-19 10 2 0
12 1 -22 0
-7 4 2 0
-4 -10 -11 0
-27 6 -1 0
23 13 18 0
-22 -24 21 0
19 23 25 0
-7 18 23 0
24 -26 -2 0
4 16 -5 0
-8 -21 6 0
1 12 3 0
5 18 21 0
-18 16 -15 0
14 -15 2 0
27 -13 -4 0
-4 -20 -8 0
-27 18 -8 0
-18 -13 22 0
-10 -13 3 0
26 2 -10 0
-15 6 -16 0
-23 9 16 0
-25 -19 9 0
-21 -19 -4 0
19 -2 13 0
-9 19 -26 0
-12 -13 16 0
7 22 17 0
13 -1 -26 0
-9 -1 -20 0
9 18 4 0
-16 -6 -5 0
-5 15 -1 0
