c instance by G2
c solution = 001100000011001101100111011
c Known solution cost is 1076 
p cnf 27 40
w 0 27 12 44 73 6 33 10 25 17 60 64 65 0 63 42 39 33 88 51 61 16 52 22 74 35 64
5 12 -16 0
14 -12 -7 0
-9 15 -10 0
15 -13 8 0
-6 5 -26 0
-23 -17 6 0
19 6 17 0
-26 -27 23 0
4 -3 -27 0
16 23 -10 0
20 -2 -14 0
8 3 17 0
-12 10 -5 0
-27 8 26 0
19 -8 16 0
20 14 -13 0
-4 6 -20 0
-1 21 -19 0
-3 -9 17 0
-16 -8 9 0
16 5 -18 0
-2 -3 -22 0
-24 17 4 0
11 6 -12 0
-21 -26 17 0
18 -12 21 0
24 25 -22 0
-15 -10 7 0
17 -14 8 0
2 8 27 0
9 -11 -2 0
25 -26 22 0
10 11 21 0
13 24 25 0
18 10 -14 0
-25 -17 -21 0
-22 15 7 0
-14 -11 20 0
9 -25 14 0
-26 -11 -2 0
