c instance by G2
c solution = 0010010011011100110110110110101111010001
c Known solution cost is 2172 
p cnf 40 40
w 89 26 49 99 92 13 94 95 54 97 24 7 43 43 39 15 69 28 29 86 7 49 63 21 61 50 19 62 52 97 22 93 75 71 92 19 37 86 14 91
-20 23 2 0
-8 -29 -33 0
1 -19 -18 0
28 40 22 0
-39 -27 -10 0
38 28 18 0
33 -17 -21 0
-14 -26 -5 0
39 28 13 0
11 -6 -28 0
14 -33 37 0
-3 -4 19 0
-22 11 39 0
9 7 25 0
-10 -29 -30 0
17 -3 -32 0
3 2 19 0
12 -14 30 0
30 6 -32 0
-12 -10 26 0
36 7 35 0
-16 -18 -23 0
-27 -11 -36 0
2 31 -9 0
29 -40 -31 0
-32 -40 -7 0
-31 20 -12 0
-13 27 35 0
-6 -37 -18 0
-35 2 -24 0
-18 -36 34 0
24 11 1 0
-3 21 25 0
-20 -1 -23 0
38 -26 10 0
5 -33 -25 0
-2 -31 -10 0
-14 -38 19 0
32 1 38 0
-15 -17 -34 0
