c instance by G2
c solution = 1100000100000100111001000001111001111100
c Known solution cost is 1885 
p cnf 40 40
w 3 39 35 54 54 42 7 61 70 26 89 22 79 67 46 34 70 40 44 93 36 90 73 39 10 52 75 30 71 16 15 26 7 50 33 61 45 92 74 15
33 16 -26 0
10 2 -37 0
-15 4 -19 0
35 11 15 0
37 -29 -14 0
-34 30 3 0
-28 -3 -1 0
-1 -16 7 0
-25 10 16 0
18 -30 -8 0
36 5 26 0
-37 19 -1 0
-39 -2 10 0
38 -35 11 0
4 -17 -9 0
15 29 -31 0
3 -23 -34 0
-13 -29 -35 0
6 -5 40 0
14 -17 -35 0
22 39 -30 0
15 -24 -31 0
-18 4 -21 0
-14 -33 -17 0
33 -6 9 0
16 33 31 0
-14 34 15 0
3 -12 -29 0
26 -32 -30 0
6 -8 -11 0
15 -29 -20 0
12 8 -29 0
-40 -31 5 0
-36 39 1 0
23 24 17 0
40 27 -10 0
-35 -28 -4 0
33 -7 10 0
-27 25 20 0
28 24 5 0
