c instance by G2
c solution = 1001011010110010100111100010110000001100
c Known solution cost is 1994 
p cnf 40 40
w 52 83 93 79 68 94 86 45 76 0 4 15 75 77 19 13 52 44 18 77 29 98 18 0 76 52 26 8 34 44 41 86 27 86 66 47 81 4 92 9
25 -8 -27 0
9 10 35 0
17 -7 33 0
19 -40 5 0
24 -12 20 0
36 -12 -13 0
28 22 -11 0
23 2 -9 0
19 -18 -15 0
-11 26 -34 0
37 -23 35 0
2 -21 6 0
34 26 -25 0
-22 35 -5 0
25 4 26 0
10 -24 2 0
34 -2 -27 0
7 -4 26 0
2 11 -17 0
10 -33 -11 0
30 -23 34 0
-21 25 -32 0
12 2 16 0
-6 -35 10 0
-22 32 1 0
-3 -37 10 0
25 -39 -9 0
-10 13 24 0
33 31 -19 0
-31 34 32 0
21 24 39 0
-7 15 39 0
34 -27 -26 0
10 -16 -20 0
27 -21 -23 0
5 38 32 0
-28 14 2 0
39 -36 -12 0
29 40 -20 0
24 -14 -1 0
