c instance by G2
c solution = 0110100111000110110111111011000011110101
c Known solution cost is 2025 
p cnf 40 40
w 42 7 46 75 50 43 92 99 8 92 36 65 89 46 20 21 69 93 67 73 29 89 25 31 94 56 53 11 7 94 25 2 53 23 77 55 66 22 54 26
-7 -24 -27 0
19 -8 5 0
2 -21 1 0
-38 -16 -21 0
-35 -33 -39 0
8 19 12 0
-25 31 36 0
-21 -2 34 0
-40 -11 -23 0
15 19 12 0
-3 17 -25 0
11 39 27 0
-25 18 7 0
-30 1 4 0
-5 -1 32 0
-31 39 -8 0
-28 -3 14 0
32 -23 35 0
20 -15 -5 0
-6 -23 7 0
-32 -5 -40 0
-38 -12 26 0
30 37 3 0
10 -3 -14 0
23 31 26 0
24 -2 4 0
32 9 11 0
-36 28 30 0
32 25 37 0
31 -14 -37 0
22 -25 11 0
40 -5 -17 0
31 -19 -9 0
30 -5 -26 0
21 6 -22 0
-29 -40 -24 0
-13 6 -36 0
-2 -4 -25 0
1 33 -8 0
38 -9 31 0
