c instance by G2
c solution = 1001010100000111100111100011100000001000
c Known solution cost is 2085 
p cnf 40 40
w 64 36 46 24 59 98 45 72 13 23 60 20 43 12 81 24 50 88 85 69 40 90 81 57 34 67 88 69 92 21 9 9 57 7 33 68 58 30 92 71
-6 -35 26 0
33 -15 -3 0
35 3 23 0
39 -22 16 0
21 -27 24 0
30 2 29 0
-13 35 3 0
27 35 9 0
20 24 36 0
-31 10 33 0
36 -4 -32 0
10 19 8 0
-4 34 -33 0
11 3 -10 0
-14 -16 -39 0
11 15 39 0
-23 1 13 0
39 -4 -18 0
7 10 -12 0
-9 36 25 0
-40 25 13 0
-7 10 39 0
-15 -14 22 0
-22 12 -24 0
34 14 31 0
-11 32 31 0
31 37 26 0
-21 -34 3 0
19 -27 -25 0
-38 11 36 0
-2 -16 19 0
4 24 -28 0
-19 10 -22 0
19 -4 28 0
-5 9 -23 0
30 -36 -15 0
32 31 -30 0
-15 17 -14 0
12 6 40 0
30 -26 -14 0
