c instance by G2
c solution = 1010101010110111000011011100110001011
c Known solution cost is 1245 
p cnf 37 40
w 62 10 35 3 30 9 7 0 86 47 3 18 30 42 50 20 87 51 2 85 55 77 20 21 43 70 13 22 0 73 19 14 35 7 17 66 16
-29 -18 17 0
-7 24 8 0
29 33 2 0
-17 -29 -1 0
-11 -22 -23 0
-2 -16 33 0
28 -9 -32 0
6 28 -4 0
1 33 -25 0
-15 13 22 0
-19 31 -21 0
-27 -7 6 0
10 23 25 0
-22 36 32 0
-21 -36 34 0
-36 21 20 0
8 35 3 0
-29 -13 33 0
4 -33 -16 0
-1 -14 -8 0
30 -36 -25 0
35 11 -15 0
5 -24 -37 0
-1 -11 -35 0
15 20 -7 0
2 6 12 0
-10 -37 18 0
-30 37 13 0
29 23 27 0
-34 23 16 0
10 -26 -6 0
14 -25 31 0
32 10 -31 0
28 9 -5 0
-14 -20 17 0
3 -14 12 0
20 7 -12 0
26 33 -12 0
-26 -22 29 0
-34 -25 -28 0
