c instance by G2
c solution = 0010111100010011100110110101100111000
c Known solution cost is 1625 
p cnf 37 40
w 55 22 56 39 3 41 98 62 70 97 52 4 37 24 40 50 70 25 13 78 84 31 30 34 10 98 25 68 45 31 8 52 53 64 43 8 5
-4 9 23 0
-28 -27 9 0
1 28 -7 0
27 -37 -21 0
-17 -10 -28 0
27 -4 -28 0
23 18 9 0
-12 -18 35 0
37 -26 15 0
-3 33 -15 0
-32 33 -29 0
-34 18 -11 0
27 3 -29 0
31 14 32 0
-12 5 25 0
8 37 25 0
34 9 35 0
-35 -6 -26 0
12 9 27 0
35 -33 -30 0
-1 -20 -23 0
-28 4 21 0
20 27 -3 0
-29 -2 -7 0
11 30 7 0
30 -34 -31 0
37 28 -26 0
25 -19 -3 0
31 2 29 0
1 -34 24 0
-7 -22 -33 0
-33 -28 17 0
14 6 30 0
14 -13 10 0
-14 -23 -24 0
-29 -9 -7 0
-34 16 -23 0
-6 1 26 0
-25 4 -21 0
-36 11 13 0
