c instance by G2
c solution = 1100100000111101100001010100000100010
c Known solution cost is 1521 
p cnf 37 40
w 24 75 12 82 59 81 64 65 22 31 25 91 98 65 63 50 36 42 26 0 21 63 42 40 56 12 48 27 6 45 0 30 20 12 12 31 45
-13 -8 -26 0
18 -37 31 0
15 -34 20 0
11 -24 -5 0
-7 -32 34 0
-32 -31 10 0
3 -26 -35 0
-29 -2 -16 0
-9 25 3 0
15 -25 -8 0
-2 6 -15 0
-14 -2 -20 0
15 18 5 0
4 -21 7 0
16 9 6 0
24 20 10 0
2 4 -24 0
3 -22 13 0
19 30 12 0
-17 -2 36 0
21 -27 18 0
6 -10 -28 0
-30 3 -24 0
-32 -26 -3 0
30 -24 -4 0
25 -6 -26 0
-25 29 -17 0
-33 -5 -2 0
-24 -23 10 0
21 20 17 0
22 27 8 0
8 -19 20 0
28 -10 15 0
32 -16 10 0
-34 -3 -28 0
20 18 1 0
31 27 14 0
8 26 29 0
-28 -14 29 0
21 -18 -11 0
