c instance by G2
c solution = 001111011001001001010011101000
c Known solution cost is 1538 
p cnf 30 40
w 74 76 49 70 8 81 38 24 4 66 14 66 25 84 20 86 84 46 29 34 28 25 59 98 43 52 87 46 56 66
11 -7 -24 0
-12 -18 -16 0
8 -24 -20 0
6 -5 3 0
-3 -11 28 0
3 -12 -5 0
22 -12 23 0
26 -24 27 0
-28 11 13 0
-19 -10 -29 0
21 24 11 0
-2 -23 13 0
30 13 -10 0
-26 -3 -29 0
-6 -2 19 0
26 12 -18 0
24 -27 28 0
6 11 -12 0
-21 30 -27 0
-24 -6 -16 0
15 -12 -5 0
20 19 7 0
25 29 16 0
-29 21 14 0
-27 5 -9 0
-6 -13 -24 0
-17 -8 -6 0
11 -30 13 0
18 -27 22 0
-12 18 -27 0
-26 16 -18 0
-24 10 -17 0
9 1 14 0
-19 -22 9 0
29 -19 1 0
4 -20 14 0
-14 -20 22 0
-1 -15 28 0
11 19 -22 0
23 11 -8 0
