c instance by G2
c solution = 101110001011110000111010110011
c Known solution cost is 1686 
p cnf 30 40
w 11 52 97 54 37 49 30 51 66 65 31 24 52 65 67 60 87 86 88 41 6 40 85 43 23 79 74 89 61 73
17 -2 -3 0
17 -18 10 0
-9 -14 20 0
24 -16 -8 0
-12 -16 -26 0
-9 -1 23 0
21 7 26 0
-13 26 -21 0
-5 -24 10 0
10 18 1 0
-22 -26 23 0
-9 -21 -2 0
-12 29 -30 0
-28 -4 27 0
-22 -9 16 0
4 -10 29 0
4 1 2 0
-20 17 -10 0
-19 -29 13 0
-6 20 3 0
6 -3 14 0
9 -30 -13 0
11 16 -12 0
16 12 -23 0
25 -30 -14 0
28 3 16 0
-12 -11 21 0
4 -23 7 0
28 5 27 0
-9 28 21 0
-26 27 -15 0
15 -27 -26 0
10 -22 -12 0
-30 22 -15 0
19 -21 -29 0
-7 -1 15 0
-17 -9 24 0
30 -9 -25 0
-6 8 15 0
-4 24 -8 0
