c instance by G2
c solution = 110001101101001001000111101001
c Known solution cost is 1623 
p cnf 30 40
w 12 45 8 92 13 32 99 49 83 63 40 38 92 13 8 73 48 73 92 33 82 47 44 31 27 38 83 99 96 70
11 18 -10 0
-30 -3 -9 0
-10 -4 -29 0
-9 -1 23 0
10 12 27 0
7 17 -24 0
3 -22 -4 0
21 -13 17 0
13 11 -14 0
16 15 -2 0
13 22 29 0
-15 7 -10 0
8 17 25 0
-18 26 30 0
-20 -2 13 0
6 13 -10 0
28 -13 29 0
-11 -25 -12 0
-26 -7 29 0
-8 -22 -12 0
9 19 16 0
-30 22 26 0
-23 10 -6 0
26 21 -19 0
2 -1 -15 0
-6 -2 -28 0
-9 -2 23 0
7 27 6 0
-24 13 -16 0
-24 -17 4 0
-5 21 20 0
29 -22 12 0
-2 -17 -19 0
4 -29 5 0
28 11 -21 0
-15 7 14 0
19 27 28 0
-7 -25 1 0
5 24 14 0
-16 -8 14 0
