c instance by G2
c solution = 110100110101011001110101111010
c Known solution cost is 1738 
p cnf 30 40
w 8 88 30 69 31 83 98 10 78 72 58 10 83 72 13 68 53 53 99 28 98 31 19 81 12 72 89 74 83 75
-13 -24 -20 0
24 -10 -7 0
12 -24 28 0
6 27 -30 0
-6 13 3 0
28 6 7 0
-27 19 28 0
30 -26 10 0
-29 4 23 0
21 -11 -1 0
20 -26 -12 0
16 -3 -20 0
11 -2 15 0
-27 18 13 0
-21 -18 17 0
-24 26 11 0
5 -23 28 0
-3 -20 -10 0
-21 -2 5 0
2 6 -14 0
16 -30 -12 0
19 7 -22 0
4 11 -13 0
18 21 10 0
18 -26 12 0
-24 -2 27 0
-16 13 -20 0
6 14 -29 0
-26 -10 1 0
-15 22 11 0
-5 9 -4 0
-27 -19 25 0
17 3 -9 0
-27 -19 24 0
-27 -28 17 0
-6 -8 29 0
-1 16 8 0
18 1 -17 0
29 -15 -27 0
-17 -2 -20 0
