c instance by G2
c solution = 010011001100000010100111101001
c Known solution cost is 1348 
p cnf 30 40
w 78 35 89 8 12 50 24 57 76 66 36 36 4 81 45 67 39 68 0 27 61 12 11 57 84 0 60 76 81 8
17 -25 12 0
-15 -20 -23 0
-13 -2 20 0
11 -9 -15 0
29 6 -27 0
2 -6 21 0
-30 21 -7 0
-17 8 -1 0
-3 -9 21 0
12 11 30 0
-24 -12 -6 0
5 26 12 0
21 -14 -2 0
-21 -17 29 0
25 7 3 0
25 27 -18 0
26 10 -9 0
16 -9 24 0
20 -10 17 0
11 -26 -25 0
-16 -27 -30 0
-25 3 -4 0
13 -9 27 0
-18 13 26 0
-27 -20 14 0
3 -5 19 0
15 3 -29 0
-8 -24 20 0
-5 27 -28 0
1 28 9 0
23 28 18 0
15 13 22 0
-13 -9 3 0
-17 3 -28 0
-23 11 -14 0
8 -14 3 0
-27 -10 -28 0
-11 21 -17 0
-29 26 28 0
22 -24 29 0
