c instance by G2
c solution = 110100010011110001100000101000
c Known solution cost is 1515 
p cnf 30 40
w 24 61 77 5 71 31 78 67 88 30 75 44 55 20 46 96 95 79 20 59 14 14 38 91 88 34 27 33 44 11
29 2 9 0
26 17 14 0
23 -9 10 0
3 -4 -6 0
15 -19 -29 0
-18 27 30 0
-14 26 -21 0
22 -20 17 0
-18 22 -30 0
1 -8 30 0
-23 -12 21 0
21 5 18 0
-11 -7 5 0
-13 -17 16 0
16 15 12 0
30 21 -26 0
-24 -8 22 0
-16 7 17 0
23 20 2 0
-8 19 21 0
-25 -13 -22 0
-14 30 -15 0
4 11 13 0
19 29 15 0
-10 6 3 0
-5 -14 26 0
-24 8 10 0
13 -2 21 0
16 -1 4 0
9 -3 -27 0
17 -4 -28 0
-19 29 25 0
-15 11 1 0
-8 -9 -3 0
7 -1 -10 0
13 -15 -7 0
29 11 20 0
8 5 21 0
4 18 9 0
18 -17 14 0
