c instance by G2
c solution = 001001010001101111111111011010
c Known solution cost is 1818 
p cnf 30 40
w 4 34 95 24 84 98 11 55 82 68 74 69 99 93 79 4 48 74 31 93 82 17 96 34 49 78 71 75 3 94
-19 -8 -11 0
30 -22 -7 0
29 -15 11 0
-25 -3 -18 0
17 5 25 0
-21 24 -15 0
-10 -20 5 0
-9 12 3 0
-9 14 4 0
-12 10 26 0
-12 16 10 0
20 19 -6 0
3 5 -20 0
-20 -22 -28 0
1 -25 -12 0
14 -17 23 0
21 -20 4 0
9 -6 12 0
-29 1 27 0
7 15 28 0
-19 2 -5 0
-13 -17 -1 0
11 8 -21 0
-23 -2 -19 0
-10 -15 -18 0
12 23 8 0
-7 25 -20 0
17 28 -16 0
-4 9 15 0
2 -15 17 0
-15 6 30 0
11 18 10 0
19 11 9 0
-24 21 18 0
-4 10 5 0
-29 14 13 0
-23 4 -30 0
-22 -21 -14 0
-8 20 7 0
25 -21 22 0
