c instance by G2
c solution = 101000010011010001011011001000
c Known solution cost is 1553 
p cnf 30 40
w 17 65 88 72 52 68 82 40 74 72 37 14 14 27 17 83 81 27 86 24 70 55 61 72 33 88 16 21 14 83
26 12 -14 0
-15 -1 19 0
-9 26 -12 0
-5 13 9 0
-20 -3 8 0
-21 11 -1 0
19 23 -30 0
-6 2 -23 0
19 -10 12 0
20 7 -18 0
3 -12 -18 0
-8 -21 -10 0
-25 4 -27 0
-1 -23 -16 0
-18 10 -4 0
4 14 26 0
15 -1 18 0
10 -20 -22 0
-20 28 -7 0
-3 5 -26 0
4 27 -1 0
-28 9 -12 0
-17 -12 -24 0
-26 8 5 0
-29 25 28 0
9 6 -15 0
13 4 3 0
-4 30 23 0
-13 -23 22 0
21 13 9 0
-19 -8 9 0
-8 -2 -24 0
-11 -18 -4 0
-5 -4 -25 0
-24 27 19 0
19 1 4 0
4 -20 24 0
23 -6 14 0
23 -18 -11 0
-30 -21 -8 0
