c instance by G2
c solution = 010101111100110101011000111000
c Known solution cost is 1316 
p cnf 30 40
w 74 76 47 25 43 75 45 59 61 12 14 45 52 49 9 75 46 37 19 11 7 50 56 93 54 15 52 33 77 5
15 19 -29 0
-8 -14 -15 0
14 23 -25 0
-3 -24 16 0
7 1 -14 0
-3 -6 17 0
-4 20 -2 0
21 1 -6 0
-24 -10 -13 0
24 12 13 0
5 24 -17 0
9 -27 -8 0
-13 -14 9 0
-27 13 30 0
16 19 -8 0
-23 3 -29 0
17 -30 5 0
-1 -2 17 0
24 23 -19 0
22 5 27 0
15 8 3 0
10 -28 30 0
4 30 24 0
-13 -2 -23 0
-6 -28 19 0
-26 25 -16 0
-14 6 -8 0
19 17 10 0
28 24 2 0
-8 -11 -27 0
-6 -30 20 0
18 -10 11 0
-12 15 -13 0
2 -10 -30 0
-20 -30 28 0
29 26 -18 0
15 24 -22 0
-9 1 -5 0
-16 25 12 0
-10 6 30 0
