c instance by G2
c solution = 011000110100100010111011010110
c Known solution cost is 1487 
p cnf 30 40
w 44 78 84 21 21 66 14 92 34 45 35 78 7 13 15 91 98 15 14 39 50 3 90 89 27 38 82 91 65 48
14 -23 10 0
-5 26 11 0
10 4 -18 0
-18 -24 -23 0
17 -15 11 0
22 -26 -1 0
16 20 12 0
-13 -30 25 0
18 19 6 0
11 -7 -9 0
28 15 27 0
15 5 -30 0
-13 -30 11 0
-26 -9 29 0
25 3 -11 0
-16 -21 15 0
30 -27 18 0
-24 29 25 0
-22 5 12 0
-29 -13 -1 0
27 9 -25 0
-13 -23 -5 0
-26 27 21 0
1 6 7 0
6 -24 -12 0
-19 -22 -8 0
-26 23 27 0
16 24 -17 0
30 -19 -6 0
2 30 22 0
-29 6 10 0
14 15 8 0
12 -11 -10 0
-10 9 17 0
-29 4 13 0
26 9 -13 0
3 30 15 0
25 1 -14 0
-20 -28 -4 0
-8 16 -15 0
