c instance by G2
c solution = 0100011111101110011100001100010111110011
c Known solution cost is 2252 
p cnf 40 40
w 28 35 80 71 56 72 95 15 82 21 85 65 84 22 61 50 45 18 74 19 20 70 49 85 81 5 28 34 99 99 66 79 35 98 3 91 71 98 58 5
-28 12 -26 0
17 -35 -23 0
-26 33 -2 0
24 -40 8 0
39 16 -10 0
25 -2 12 0
1 35 28 0
28 38 -24 0
19 29 -9 0
-2 10 3 0
29 -34 -16 0
16 32 24 0
7 -9 29 0
-39 4 30 0
13 -7 21 0
28 29 20 0
18 -39 -8 0
-32 -9 -5 0
-39 36 -40 0
-7 1 34 0
-2 -6 -38 0
-17 28 -33 0
4 15 16 0
1 38 -31 0
9 -39 27 0
23 26 -40 0
-39 -25 40 0
-29 5 -39 0
6 -19 -26 0
-30 -21 -25 0
-3 12 28 0
2 -34 -13 0
-39 -1 37 0
1 -9 -27 0
-30 -22 28 0
-33 5 11 0
16 14 12 0
-10 -37 3 0
-10 -4 -11 0
-13 -12 22 0
