c instance by G2
c solution = 0110010011000110011001110101110100011011
c Known solution cost is 2046 
p cnf 40 40
w 86 27 54 46 64 50 73 38 40 23 27 53 86 67 54 49 38 21 48 28 84 37 83 49 35 67 7 20 37 17 69 75 44 75 74 60 78 47 98 18
-19 -9 -35 0
-27 17 -26 0
38 2 16 0
6 -19 34 0
17 39 27 0
-10 35 -25 0
1 28 -39 0
3 -6 -39 0
-8 16 27 0
-6 -24 14 0
8 9 -28 0
21 32 38 0
24 11 34 0
25 8 -17 0
33 20 -11 0
-7 34 35 0
-36 34 -38 0
-37 31 -21 0
-26 37 -23 0
-9 -30 29 0
-16 38 -26 0
-28 40 38 0
35 4 -13 0
-19 -37 18 0
36 -40 33 0
33 -34 -36 0
31 7 26 0
22 -9 20 0
-9 -31 -19 0
15 4 11 0
35 -4 34 0
-20 25 -2 0
38 -12 5 0
-29 -36 10 0
-1 -32 -28 0
4 -22 23 0
33 -5 -40 0
-15 -33 -40 0
25 -39 19 0
-37 -23 30 0
