c instance by G2
c solution = 1000011100001100111110000110100000001101
c Known solution cost is 1847 
p cnf 40 40
w 1 34 61 0 98 24 97 54 53 91 27 3 20 94 69 91 70 12 90 80 2 8 51 51 40 91 88 45 1 11 99 2 97 12 2 47 37 51 1 42
4 19 -1 0
-14 -15 -38 0
-1 -14 37 0
-3 39 -37 0
14 28 11 0
30 -39 -37 0
-23 34 3 0
27 34 24 0
-40 -28 -29 0
-16 12 -18 0
-22 24 36 0
-13 20 30 0
-37 -20 -24 0
-36 -29 -14 0
-4 -17 28 0
36 26 -1 0
34 -27 8 0
-6 12 7 0
6 28 32 0
-1 38 35 0
21 4 22 0
29 16 11 0
34 -14 18 0
4 9 -2 0
-5 24 -13 0
13 33 15 0
-25 30 33 0
-33 34 -27 0
17 16 4 0
22 -9 39 0
33 -35 -19 0
-12 23 10 0
32 31 1 0
2 -27 -10 0
25 23 -31 0
-30 -13 -1 0
35 39 -11 0
-38 -8 -34 0
-27 -32 -19 0
34 15 40 0
