c instance by G2
c solution = 1011111011010011010001111010001100111010
c Known solution cost is 2127 
p cnf 40 40
w 84 76 17 3 8 68 61 72 63 61 4 85 83 61 46 6 28 56 48 72 98 41 15 75 76 98 6 59 92 98 34 76 26 3 32 35 23 93 59 86
-35 -2 13 0
29 5 -22 0
21 -33 -35 0
19 -24 25 0
-29 19 -25 0
23 40 -25 0
-34 -6 -37 0
27 -32 19 0
-4 35 -36 0
38 4 -22 0
39 -31 -5 0
-25 7 -32 0
-5 -7 -26 0
-36 24 -9 0
-30 -10 -9 0
-10 -22 18 0
-25 13 -38 0
-3 -8 -12 0
31 -9 -5 0
-15 -11 -3 0
-12 30 -17 0
-28 -39 2 0
40 -37 16 0
-20 38 21 0
13 15 34 0
28 -24 12 0
33 -15 32 0
13 1 -12 0
2 -39 -19 0
-9 -23 -13 0
10 29 -6 0
-5 14 -40 0
9 -24 17 0
-27 11 6 0
14 22 -15 0
-14 20 -4 0
-21 -3 -9 0
29 -24 37 0
36 28 -24 0
3 -35 -24 0
