c instance by G2
c solution = 1010001100101001011000010101011111001111
c Known solution cost is 2076 
p cnf 40 40
w 91 37 6 40 65 53 48 63 85 35 33 62 9 45 58 24 26 68 71 2 99 48 12 64 53 96 71 58 32 18 92 76 7 98 16 72 51 17 87 88
23 -12 -11 0
-18 -34 -17 0
29 -39 -23 0
-34 35 38 0
-11 35 -36 0
-20 -31 6 0
-31 18 -26 0
35 31 -40 0
-38 -33 11 0
2 28 5 0
4 -2 20 0
6 -34 33 0
-15 -16 -33 0
-6 -40 15 0
20 36 32 0
-38 -26 1 0
-13 -38 -4 0
17 29 40 0
-40 -37 -10 0
-14 23 4 0
-38 19 29 0
-26 3 2 0
-18 6 37 0
-38 -25 -28 0
30 -37 -28 0
-13 -1 -5 0
-9 6 -18 0
29 13 -16 0
9 -27 -31 0
-38 34 -40 0
-30 -35 -31 0
16 12 17 0
-32 20 8 0
-39 -21 27 0
2 29 39 0
24 5 -37 0
9 -31 7 0
26 5 -39 0
10 23 -29 0
36 -22 -7 0
