c instance by G2
c solution = 11110101011011100010111101011010001
c Known solution cost is 1874 
p cnf 35 40
w 58 69 50 38 87 82 65 84 71 1 95 37 70 40 32 31 77 98 7 81 16 91 16 84 63 16 22 37 5 99 56 16 68 58 54
-18 20 -35 0
3 -23 34 0
33 32 -7 0
12 21 33 0
-9 -35 30 0
30 28 24 0
-11 26 -3 0
31 -14 34 0
29 -3 -21 0
-21 11 -31 0
11 30 -1 0
-14 2 -28 0
-31 -30 -35 0
-4 -25 17 0
-22 -12 33 0
-27 -19 -11 0
-19 6 -35 0
10 25 -34 0
-13 19 5 0
-28 -32 18 0
-31 -5 -13 0
-8 25 23 0
28 -15 -6 0
4 5 -28 0
22 -2 9 0
-8 32 -33 0
-28 32 -16 0
-4 -22 10 0
33 -22 -7 0
-1 9 8 0
-29 35 34 0
1 -13 7 0
-19 15 -4 0
24 -31 -2 0
-19 -14 -20 0
-17 9 -2 0
27 13 -11 0
-30 16 -21 0
27 -34 16 0
12 14 5 0
