c instance by G2
c solution = 11110100011010000010011110111001110
c Known solution cost is 1751 
p cnf 35 40
w 20 80 79 9 55 97 66 44 20 69 49 87 96 49 53 23 85 73 29 11 54 74 20 43 74 58 29 50 27 24 57 47 56 36 8
30 -23 10 0
-6 -9 16 0
-20 30 12 0
6 -24 5 0
-19 -10 -17 0
25 -24 -28 0
-2 1 -25 0
-14 -27 -34 0
29 -1 14 0
22 5 30 0
-4 32 -14 0
15 -23 -5 0
-1 -16 17 0
2 -22 31 0
2 28 13 0
35 -8 7 0
31 13 -10 0
-4 -3 33 0
4 7 -11 0
14 28 -24 0
5 33 14 0
-15 -11 -24 0
-32 -10 -18 0
15 23 8 0
-7 -25 5 0
19 -24 12 0
-24 -26 35 0
-35 -2 7 0
5 34 -2 0
-9 26 5 0
27 20 12 0
-15 -3 -28 0
-33 -21 -13 0
15 11 -34 0
-30 8 -25 0
30 -32 -31 0
-13 -12 15 0
32 -1 -10 0
8 3 -28 0
-32 24 -22 0
