c instance by G2
c solution = 11000000100101100111100111010001101
c Known solution cost is 1839 
p cnf 35 40
w 30 23 96 49 10 91 5 94 80 14 84 13 55 17 51 74 92 44 31 76 48 49 54 69 34 29 53 80 40 55 89 22 79 38 71
32 8 22 0
-8 -12 -33 0
22 -6 -28 0
19 17 -35 0
-35 -22 6 0
33 -1 13 0
-2 29 -23 0
35 3 27 0
3 20 -9 0
31 -20 -4 0
-32 -28 1 0
22 -11 -2 0
4 -1 14 0
-18 34 -30 0
30 33 -18 0
4 -31 -32 0
26 30 11 0
-1 16 -29 0
31 29 -34 0
-16 13 34 0
13 11 25 0
-2 21 -14 0
3 -7 -35 0
9 -35 10 0
-5 34 13 0
2 -24 -28 0
-4 -6 -7 0
30 31 24 0
-1 -25 18 0
34 30 28 0
12 6 17 0
3 20 -35 0
-28 -3 5 0
7 32 28 0
-9 -27 5 0
7 -16 11 0
-20 16 -13 0
15 11 29 0
29 -17 -12 0
23 -24 -10 0
