c instance by G2
c solution = 00011000110111100010010111100000000
c Known solution cost is 1747 
p cnf 35 40
w 28 71 1 67 36 7 26 7 80 79 23 65 83 41 83 15 45 51 81 28 94 37 27 39 46 47 28 82 76 39 34 56 62 87 76
-9 6 4 0
-2 3 -19 0
9 -15 -33 0
-1 -22 16 0
-24 8 -18 0
-25 34 26 0
21 -22 25 0
8 12 21 0
-10 -33 20 0
-19 11 -21 0
16 11 -35 0
-20 35 17 0
-12 27 1 0
-10 3 -11 0
-6 33 32 0
-4 22 6 0
32 19 -12 0
-8 30 31 0
-32 -24 31 0
-7 30 11 0
3 -30 11 0
2 -27 -17 0
1 -17 -5 0
24 -13 16 0
15 17 20 0
3 -27 -31 0
7 21 -30 0
21 5 18 0
-28 30 7 0
-24 14 30 0
31 -15 13 0
-29 33 3 0
9 11 -15 0
-3 35 -15 0
-22 -23 8 0
-24 18 -23 0
11 -16 35 0
10 33 11 0
-10 -34 28 0
27 -19 9 0
