c instance by G2
c solution = 0001101010111101011011011
c Known solution cost is 1050 
p cnf 25 40
w 96 0 46 2 6 9 52 52 62 37 10 2 88 32 92 51 39 42 33 37 2 73 64 53 70
20 -13 -1 0
-25 -3 -21 0
-16 -18 22 0
-2 -14 -17 0
-20 10 -21 0
2 -7 -6 0
-3 19 18 0
15 -11 25 0
-10 -3 12 0
-7 13 12 0
20 -22 -8 0
-13 3 18 0
19 2 23 0
11 -22 3 0
-5 -4 22 0
10 -16 -23 0
24 -11 8 0
4 2 -11 0
-8 1 -6 0
1 15 9 0
17 14 -24 0
12 -8 6 0
-18 16 -25 0
-5 -10 -24 0
-22 7 17 0
-13 -2 -4 0
-1 22 10 0
-25 12 20 0
-15 17 8 0
3 21 20 0
-17 23 -7 0
-4 19 17 0
13 10 -9 0
-5 -8 10 0
6 -3 23 0
-20 -19 3 0
8 -5 -17 0
17 10 -1 0
9 15 -4 0
5 -9 -14 0
