c instance by G2
c solution = 0011001100101100000011010
c Known solution cost is 998 
p cnf 25 40
w 31 28 63 41 80 59 28 36 40 27 89 70 1 34 46 39 67 40 4 17 10 48 76 14 10
-16 -10 -18 0
-22 -23 18 0
-9 10 1 0
-19 -12 23 0
2 -4 -15 0
-6 3 -14 0
23 -17 -25 0
-20 12 10 0
-1 10 -3 0
-7 -13 -6 0
-24 -5 25 0
-4 15 8 0
-19 -9 15 0
-14 -19 -1 0
19 1 -25 0
-18 -7 -11 0
-24 -2 21 0
2 21 -8 0
-7 4 10 0
-12 -6 11 0
18 -9 -17 0
24 10 16 0
1 -17 18 0
3 10 -22 0
13 15 10 0
13 15 -7 0
-22 20 7 0
14 6 18 0
23 14 -19 0
-14 -10 -13 0
-21 -5 18 0
-24 -12 -25 0
12 18 -15 0
20 -16 -14 0
23 6 -12 0
1 9 -2 0
-3 22 10 0
10 11 20 0
13 15 -4 0
18 -7 -19 0
