c instance by G2
c solution = 0111010110101000100110011
c Known solution cost is 1116 
p cnf 25 40
w 3 36 53 56 27 91 84 44 24 44 22 43 99 24 56 37 41 23 65 41 0 70 45 71 17
-21 -25 11 0
-10 -22 -19 0
-5 4 18 0
6 3 -17 0
-6 10 17 0
6 21 25 0
5 8 -20 0
-16 -17 -11 0
-23 -21 22 0
-1 25 4 0
-2 -4 -7 0
-7 22 9 0
-6 22 -12 0
20 15 -5 0
25 -11 -24 0
5 24 -2 0
1 20 -16 0
-5 23 -24 0
-20 -11 2 0
-14 1 -6 0
4 2 23 0
-3 6 -4 0
-1 -15 -25 0
-25 -10 -20 0
-2 20 -3 0
18 -9 21 0
5 -15 14 0
13 -2 -21 0
-8 -1 18 0
-2 -22 -8 0
-4 -15 23 0
-3 15 4 0
-17 -6 4 0
12 -17 -18 0
-8 10 3 0
13 7 -5 0
23 -17 -16 0
9 15 -24 0
21 23 -14 0
-19 -9 -20 0
