c instance by G2
c solution = 0001010101001110000001011
c Known solution cost is 1267 
p cnf 25 40
w 32 85 27 29 85 74 87 63 39 22 30 75 52 20 91 21 80 51 52 47 29 64 31 7 74
10 -13 3 0
2 20 -11 0
4 9 23 0
10 3 19 0
-14 -15 -7 0
-23 -11 12 0
24 18 19 0
-9 8 17 0
-6 25 -8 0
-10 8 19 0
-24 -2 17 0
-10 -5 17 0
-8 6 5 0
9 14 11 0
-12 -22 -4 0
18 20 -19 0
-13 -16 20 0
-17 14 9 0
-2 6 -21 0
22 19 1 0
-25 13 2 0
-22 12 24 0
-1 3 17 0
-4 -14 -12 0
18 -21 16 0
-24 -3 20 0
18 -17 21 0
5 -24 15 0
-15 12 -18 0
-25 -9 21 0
-5 -2 9 0
-4 2 -12 0
14 20 2 0
-11 -22 17 0
14 -8 18 0
13 25 -22 0
4 -6 11 0
-20 -24 9 0
-23 19 -24 0
12 -23 17 0
