c instance by G2
c solution = 1000101111001100011100000
c Known solution cost is 1120 
p cnf 25 40
w 77 11 24 54 58 69 20 51 82 37 73 59 12 82 72 5 64 34 38 0 96 20 34 22 26
24 -22 -1 0
11 -6 2 0
-14 -7 5 0
-8 12 9 0
-18 -24 -20 0
-18 -8 -17 0
4 -25 22 0
-22 14 23 0
-16 17 6 0
1 3 -14 0
-11 -13 25 0
19 -7 3 0
24 -17 -10 0
-19 4 8 0
-21 -18 -10 0
-17 -8 1 0
4 20 9 0
-1 10 -18 0
15 -12 -3 0
18 4 -8 0
-10 6 -23 0
-19 -13 -2 0
-25 20 16 0
20 17 -7 0
-8 -4 -10 0
13 23 21 0
-7 -14 18 0
1 7 -23 0
-21 2 6 0
6 -18 7 0
5 3 11 0
-1 22 14 0
7 -6 20 0
-13 -8 -16 0
17 23 -15 0
14 20 -10 0
-1 -12 -13 0
8 -15 12 0
2 4 -3 0
-17 11 12 0
