c instance by G2
c solution = 1110111100111110010010001
c Known solution cost is 1053 
p cnf 25 40
w 36 44 22 50 15 22 51 39 37 61 90 53 1 54 55 44 44 53 17 67 16 30 12 68 72
-14 -25 2 0
-3 -23 25 0
4 -24 -11 0
12 -1 -8 0
9 5 16 0
17 -22 9 0
11 -25 -21 0
-15 11 7 0
9 -17 -14 0
15 17 -19 0
-15 -10 -2 0
3 -1 10 0
-11 3 -19 0
-19 -8 -21 0
16 18 -10 0
-23 -5 -25 0
-4 -14 -6 0
-20 -22 12 0
-12 18 10 0
-21 6 10 0
3 -12 9 0
25 16 -14 0
-8 21 17 0
-7 -6 14 0
-15 -25 -20 0
10 24 13 0
20 -16 22 0
-19 -20 3 0
8 -22 -16 0
4 -9 -1 0
10 17 11 0
1 16 -7 0
17 -7 -10 0
-12 -11 3 0
-13 -14 8 0
-25 24 7 0
-5 10 -16 0
13 24 22 0
21 -18 8 0
-6 15 20 0
