c instance by G2
c solution = 0110011011010001100110010
c Known solution cost is 1006 
p cnf 25 40
w 22 18 19 42 23 42 90 48 9 16 18 70 16 36 74 73 3 23 68 52 10 57 31 76 70
23 -20 16 0
4 8 9 0
-20 -21 -22 0
-9 -7 -15 0
15 18 2 0
-24 20 8 0
23 4 -5 0
-7 19 -13 0
-24 6 -10 0
8 -24 2 0
21 -1 25 0
-9 3 -17 0
18 19 -5 0
13 24 -9 0
1 19 16 0
6 2 11 0
-8 15 14 0
-21 25 -8 0
-17 -23 21 0
12 -19 16 0
-5 14 -23 0
-9 22 24 0
-20 11 21 0
-19 -6 8 0
-21 -2 12 0
25 15 10 0
-2 17 23 0
-6 23 -14 0
-9 18 -4 0
-22 -17 13 0
-17 -23 22 0
-11 -6 8 0
-6 -1 19 0
4 22 12 0
21 20 10 0
5 7 -6 0
-1 16 9 0
1 -12 -18 0
-10 -25 23 0
23 -4 -20 0
