c instance by G2
c solution = 1101000000001000100001100
c Known solution cost is 1475 
p cnf 25 40
w 91 52 58 72 64 35 38 31 90 85 96 46 87 31 14 36 85 85 43 40 35 40 79 45 97
11 21 -16 0
4 8 20 0
-25 -2 15 0
25 23 18 0
18 10 1 0
-12 -1 -19 0
-15 -18 -8 0
-8 -12 -5 0
3 22 -4 0
9 10 -18 0
18 22 17 0
12 -14 7 0
11 -7 19 0
-10 9 24 0
6 -22 -7 0
1 -8 24 0
-24 21 5 0
17 -2 21 0
10 -6 14 0
14 9 1 0
11 -5 16 0
3 -2 -21 0
-2 1 9 0
8 -10 -13 0
-4 18 13 0
11 -8 18 0
21 19 -3 0
2 16 10 0
-4 -11 -13 0
5 -17 4 0
10 -8 -1 0
24 -12 3 0
-5 -10 12 0
-4 -10 -14 0
15 16 -20 0
-1 -22 -19 0
6 -16 -22 0
-1 15 -9 0
18 -15 -23 0
19 -24 5 0
