c instance by G2
c solution = 1011000110100100110100010
c Known solution cost is 1269 
p cnf 25 40
w 59 67 65 88 4 18 7 66 37 3 23 34 43 89 30 44 53 88 30 85 50 75 77 72 62
-8 19 -7 0
19 14 21 0
-17 -12 -14 0
-23 -20 11 0
-18 9 2 0
7 -21 12 0
5 19 -23 0
-24 -4 -10 0
-1 16 -22 0
-17 1 2 0
-2 16 -20 0
-14 17 7 0
5 -12 15 0
-13 -18 23 0
11 3 -15 0
-15 -2 16 0
-15 -20 2 0
-20 19 14 0
9 -10 25 0
-16 -11 -3 0
-18 -25 -8 0
11 25 -24 0
-14 23 3 0
-9 25 4 0
-1 -6 17 0
-8 -5 7 0
-4 -21 12 0
-13 -4 -11 0
-11 -3 8 0
23 20 7 0
20 6 -10 0
7 -3 -12 0
-12 -6 24 0
16 -9 18 0
-11 24 16 0
-15 10 -8 0
11 -12 6 0
-3 -19 16 0
18 1 -2 0
10 -6 2 0
