c instance by G2
c solution = 1000000001000011100001011
c Known solution cost is 1053 
p cnf 25 40
w 16 14 14 66 64 13 49 57 82 97 25 6 23 30 63 2 14 82 65 9 57 23 54 78 50
4 17 -16 0
-21 6 -10 0
-9 2 -17 0
3 23 1 0
12 -23 6 0
16 6 19 0
3 4 24 0
-19 -24 4 0
-1 -24 25 0
9 4 -6 0
18 3 -13 0
-19 -1 -15 0
12 -17 -5 0
1 -16 9 0
17 -9 18 0
25 11 13 0
15 5 9 0
18 -22 -23 0
-14 2 13 0
5 -20 -25 0
12 10 2 0
13 -19 -8 0
-24 22 4 0
-7 -24 18 0
3 -4 -10 0
7 -8 9 0
-11 12 -13 0
13 8 25 0
11 -12 -15 0
-3 11 5 0
-8 -2 10 0
-13 5 9 0
-16 -17 -23 0
-25 7 -8 0
5 -9 14 0
-18 5 12 0
14 -2 19 0
-11 7 13 0
23 -16 -7 0
17 -10 23 0
