c instance by G2
c solution = 110011000011011011110100001
c Known solution cost is 1549 
p cnf 27 40
w 37 52 75 48 85 95 98 73 7 91 6 89 98 84 81 95 86 7 99 77 2 23 26 16 47 2 50
-14 -13 7 0
25 -15 12 0
-27 -26 -22 0
-2 16 15 0
14 8 10 0
-13 7 11 0
-8 25 10 0
26 7 -21 0
26 -12 -23 0
-2 -16 -17 0
17 12 8 0
-15 -7 -18 0
-5 6 -13 0
7 -9 4 0
8 -6 14 0
25 -9 16 0
-4 3 21 0
5 6 18 0
-25 -17 -14 0
17 -5 3 0
-10 21 -19 0
-7 27 20 0
-5 6 -2 0
-24 -11 -15 0
4 1 -27 0
10 2 21 0
24 -12 -4 0
-11 14 -7 0
-2 4 19 0
-3 -19 7 0
8 -22 5 0
25 -10 -12 0
26 -23 5 0
-15 12 -22 0
6 8 -23 0
22 10 13 0
11 -20 8 0
20 -19 -1 0
-14 21 18 0
13 27 -22 0
