c instance by G2
c solution = 000110111110110011010110111
c Known solution cost is 1286 
p cnf 27 40
w 99 60 73 43 31 81 20 64 4 59 0 90 37 93 12 49 1 37 53 46 83 33 63 33 17 79 26
-12 16 15 0
11 -4 -26 0
-5 21 4 0
-16 -27 -5 0
-6 -7 1 0
-4 8 -20 0
25 3 21 0
13 6 -8 0
8 25 2 0
11 1 -26 0
3 -7 10 0
-22 -14 23 0
6 -14 -21 0
-27 13 -19 0
15 5 2 0
23 -9 -5 0
-5 -1 -25 0
9 -18 19 0
20 -9 2 0
-15 -26 -20 0
-19 -12 16 0
12 24 14 0
-19 12 2 0
-20 7 -17 0
26 11 3 0
-3 -27 -17 0
18 15 -25 0
-24 -26 6 0
25 26 1 0
19 8 2 0
24 27 21 0
15 16 26 0
-18 -2 16 0
-7 17 -25 0
-6 16 19 0
4 -23 -10 0
-14 -11 22 0
2 -4 25 0
10 12 -7 0
-22 24 8 0
