c instance by G2
c solution = 001110110100000100001010100
c Known solution cost is 1273 
p cnf 27 40
w 84 6 16 88 2 13 76 99 99 71 23 2 31 3 0 26 90 32 47 7 61 64 78 97 52 31 75
-19 -25 8 0
-1 16 20 0
12 24 -18 0
-8 -10 3 0
9 17 -1 0
18 -20 -25 0
21 18 15 0
-8 -20 3 0
19 -7 25 0
15 -13 -26 0
19 15 -12 0
-26 27 -21 0
7 -10 17 0
8 13 12 0
2 1 -9 0
14 5 -3 0
14 21 3 0
-23 -21 -14 0
-24 -23 27 0
-11 21 -27 0
4 15 12 0
24 -22 -7 0
-8 -3 5 0
-10 -5 -27 0
2 9 -17 0
18 22 -13 0
-25 -26 8 0
9 22 21 0
20 -4 -2 0
-3 -16 23 0
-2 13 -9 0
22 -16 -11 0
-19 -8 -7 0
7 -16 14 0
-20 26 23 0
-4 13 10 0
-3 -15 18 0
-7 13 -6 0
11 4 9 0
16 2 20 0
