c instance by G2
c solution = 111111101100000000001111110
c Known solution cost is 1428 
p cnf 27 40
w 63 41 83 56 64 72 69 77 56 96 90 75 27 93 12 35 72 99 15 42 26 42 0 8 9 54 52
19 -22 -8 0
-9 -18 16 0
15 22 27 0
-7 23 -4 0
20 -25 -17 0
-1 26 17 0
10 -15 -4 0
-6 12 2 0
17 12 -15 0
-10 11 2 0
-24 21 -25 0
-5 -13 19 0
10 12 19 0
-7 -24 -14 0
-12 -22 -7 0
-19 -6 -24 0
1 -3 -4 0
-6 25 -3 0
3 13 -9 0
18 -26 -27 0
10 -21 -16 0
-9 14 1 0
-2 5 -14 0
-10 26 -4 0
6 3 16 0
9 -4 -7 0
22 -12 -20 0
-9 11 6 0
-3 7 -9 0
-25 -10 5 0
15 27 6 0
17 -16 -26 0
8 22 17 0
-10 -20 17 0
18 19 4 0
-8 -20 -12 0
20 12 -11 0
-15 17 -5 0
16 24 18 0
11 27 -16 0
