c instance by G2
c solution = 1001011011100100010000110111001101100
c Known solution cost is 2119 
p cnf 37 40
w 74 75 96 77 90 32 85 18 80 91 92 84 25 68 15 11 45 16 41 8 41 28 77 28 76 18 89 51 71 63 61 97 90 58 26 80 42
-27 -36 -34 0
16 29 31 0
-10 37 -17 0
-4 -20 -27 0
-4 -13 8 0
13 -29 -26 0
-35 -23 -37 0
-30 -32 16 0
25 -1 -3 0
-12 -35 -34 0
-7 29 -8 0
20 30 27 0
9 1 -20 0
16 23 -6 0
22 21 34 0
-9 11 -6 0
-14 28 -24 0
-19 8 2 0
36 9 -24 0
-31 26 -11 0
-14 35 3 0
-7 6 -23 0
25 18 12 0
-24 -22 -23 0
-11 29 1 0
10 3 -35 0
-25 -23 -24 0
-20 12 34 0
2 24 -14 0
16 14 3 0
-25 15 -3 0
-10 -15 2 0
-2 8 -6 0
-27 29 -21 0
22 4 -11 0
-27 -9 -33 0
7 20 33 0
-23 30 -5 0
-23 -4 -16 0
-31 5 32 0
