c instance by G2
c solution = 0000111000011001100001000101000000011
c Known solution cost is 2293 
p cnf 37 40
w 33 97 83 8 58 76 57 58 18 53 37 87 73 46 75 68 95 66 47 96 92 92 8 85 75 48 57 67 80 87 70 13 84 6 21 95 82
-7 -35 -6 0
-2 21 18 0
-22 -32 -5 0
14 -28 -15 0
37 33 23 0
35 33 -10 0
-24 25 -16 0
-22 30 -34 0
-31 11 10 0
3 -18 15 0
-37 26 15 0
-29 -7 -34 0
13 3 20 0
-7 -25 11 0
28 15 -22 0
-26 32 7 0
11 -1 27 0
-5 -30 21 0
2 -4 21 0
-5 17 18 0
37 -5 8 0
15 -9 11 0
-22 24 -29 0
16 10 27 0
-12 22 9 0
36 20 -12 0
-28 27 -3 0
-11 -36 -12 0
35 -14 -16 0
-8 32 14 0
-21 -6 27 0
-22 -33 -7 0
23 -27 9 0
18 12 -7 0
-19 -36 11 0
-28 -23 -7 0
5 15 19 0
-16 8 -20 0
-8 19 22 0
-12 6 10 0
