c instance by G2
c solution = 0011001000011010011001100000010001001
c Known solution cost is 1839 
p cnf 37 40
w 29 31 85 81 73 22 81 47 67 73 15 69 71 30 4 33 40 77 80 56 23 18 83 23 32 96 75 88 23 18 94 4 49 31 38 75 5
7 26 -34 0
-9 -20 -14 0
-24 17 33 0
18 16 -12 0
-14 -13 1 0
2 -29 11 0
23 -7 11 0
-18 23 34 0
30 -23 -34 0
-13 27 -33 0
-23 -28 -34 0
1 -8 -30 0
-6 -12 17 0
5 9 -35 0
14 -9 6 0
-18 -17 -7 0
-11 21 -23 0
-34 3 11 0
-16 31 32 0
4 -22 8 0
8 22 -13 0
32 -3 12 0
32 28 -2 0
24 -36 5 0
36 19 8 0
13 24 20 0
20 -10 -22 0
36 -20 5 0
-25 -22 9 0
-19 31 -26 0
-1 27 -22 0
29 37 27 0
-34 -33 21 0
-31 -7 33 0
-5 6 -12 0
-32 28 -4 0
20 6 34 0
-21 25 10 0
20 15 9 0
28 21 -27 0
