c instance by G2
c solution = 0011010011010010011000010000111111010
c Known solution cost is 1755 
p cnf 37 40
w 45 45 63 5 4 54 64 94 56 43 94 6 47 31 25 11 95 2 20 63 61 93 29 69 65 19 34 67 54 29 75 51 74 38 8 30 92
7 37 19 0
30 7 -19 0
16 -26 -9 0
-9 -37 -6 0
37 -20 21 0
26 -31 3 0
13 26 32 0
-8 -33 17 0
34 5 14 0
-34 1 -21 0
8 -17 -21 0
16 -11 23 0
11 17 -25 0
-3 10 -24 0
-15 31 -9 0
27 -6 -16 0
-10 -14 7 0
18 25 37 0
-18 7 -27 0
-10 9 -18 0
-4 -23 -36 0
35 -31 -2 0
36 5 2 0
-35 22 7 0
12 23 7 0
-17 -36 1 0
28 -3 -5 0
-10 -36 -1 0
33 2 -19 0
15 23 26 0
-30 37 6 0
4 35 -19 0
24 -9 -3 0
8 27 29 0
7 27 -28 0
-20 31 22 0
1 20 -13 0
8 -22 -30 0
-37 6 29 0
5 -7 27 0
