c instance by G2
c solution = 1100011101100101101000110110100000001
c Known solution cost is 1810 
p cnf 37 40
w 85 8 20 93 29 15 52 27 91 31 73 35 77 54 42 63 25 48 99 33 80 67 41 16 75 9 17 69 47 62 46 32 70 18 77 51 33
-17 -26 -15 0
35 37 -14 0
-24 32 17 0
6 15 -27 0
32 -34 33 0
32 18 -28 0
37 28 -27 0
3 -25 -2 0
-7 10 32 0
-2 36 -3 0
36 -16 -33 0
29 -1 32 0
16 -6 35 0
20 1 25 0
5 -1 2 0
-14 27 -26 0
-2 7 35 0
-15 -7 29 0
24 -8 30 0
33 -4 -14 0
33 -12 36 0
21 14 -23 0
-7 -26 -22 0
-17 26 -10 0
13 -18 5 0
9 -21 -8 0
-32 -24 15 0
-24 5 11 0
-1 -11 -5 0
-36 -24 -19 0
-2 19 5 0
-9 13 34 0
28 -26 10 0
-20 -6 22 0
-17 8 25 0
-1 -13 21 0
4 32 -31 0
32 -24 23 0
9 -35 36 0
-30 3 -29 0
