c instance by G2
c solution = 0111011101110111101100100011011001000
c Known solution cost is 1648 
p cnf 37 40
w 27 19 68 60 26 2 41 24 37 11 68 0 55 82 41 82 28 87 49 33 90 80 11 79 37 11 39 39 98 54 48 25 73 16 38 52 18
12 -8 29 0
21 35 7 0
32 14 25 0
16 35 24 0
-30 24 23 0
22 -8 4 0
9 20 -31 0
3 -10 1 0
-30 -21 32 0
5 -2 -13 0
9 -24 -11 0
-33 37 -3 0
-36 24 25 0
-6 -5 33 0
30 -28 21 0
-16 -14 11 0
-30 29 19 0
26 -15 -37 0
28 -7 5 0
35 -8 -1 0
29 17 1 0
5 -7 10 0
-28 19 22 0
-2 -20 -25 0
-14 36 -18 0
37 6 -3 0
33 -12 15 0
-14 -9 22 0
18 -29 13 0
-34 27 35 0
-35 -28 -19 0
2 33 -8 0
7 -8 9 0
-28 -1 -20 0
8 -6 -23 0
34 35 -31 0
-30 -23 31 0
-6 -34 -22 0
21 -6 -26 0
-11 -32 -16 0
